"mun";"x1";"x2";"x3";"x4";"x5";"x6";"x7";"x8";"x9";"x10";"x11";"x12";"x13";"x14";"x15";"x16";"x17";"x18"
"Bom Jesus do Itabapoana (RJ)";-0.0661089034755261;-0.512546608688255;0.562425426407321;0.367478934261078;-0.595747008933514;0.0141223820242881;0.0116551594702217;0.299783854494636;0.698650927278625;2.71657106306818;1.01273711244013;0.62790973674202;-0.36238073164068;-0.42677596232419;-0.374860565953582;0.204915587362933;-0.0824741346008329;-0.112354353264802
"Cabo Frio (RJ)";-0.541368800540031;1.89007620350668;-1.80821350313374;1.36601280757309;0.799038353798042;1.19194747045763;-0.58376226773389;0.566892605558133;0.252541409947873;-0.120738194140328;-0.107522056636265;0.709502527392113;0.303139558263037;-0.758339336541432;0.862269470714019;0.905967070413589;0.337112278252859;0.0898437095963819
"Cachoeiras de Macacu (RJ)";-0.26318197673928;0.323654756487906;-0.251917893144687;0.229900380886221;-0.437248672259473;0.142119997908052;0.141742034122631;-0.421124581585809;-0.371924658659725;-0.418252995210848;-0.0200332561753597;-0.242413363525641;-0.2081829434401;-0.282687817914833;-0.41701552761051;-0.321516256216837;-0.567188945791821;1.08835872634256
"Cambuci (RJ)";1.41420823864327;-0.559482957957178;0.110739255190447;-1.62476417997829;-1.41993835963853;-0.661762564210601;-0.536502884928535;-0.962330849580123;-0.307968795452115;0.525556266050872;0.0179896757329199;-0.487191735475921;-0.381124474799416;-0.515427765058799;-1.06426218054577;-0.750055738127734;-0.543069652303064;0.191879877280694
"Carapebus (RJ)";-0.519319354511704;1.37989506324648;-1.27812121266895;-0.0882614413889877;-0.21535100091582;-0.605139209819123;-0.355767758034742;-0.120419610747576;-0.645660609404812;-0.997343156130718;-0.919533192455131;0.111155395958096;0.547804537821899;0.250111167814577;-0.473688183760827;0.992444761937078;-0.60267249497966;-0.869077536054886
"Comendador Levy Gasparian (RJ)";-0.49145417825532;0.0834242505638712;0.0784900295314276;1.40770174062868;0.133345339767073;-0.314100771733999;0.772665422151129;-0.596752581229108;-0.608922537743017;-0.997343156130718;0.677931508051755;-0.650377316776104;-0.238819659851755;2.97533789724888;-0.0323664870050057;-0.449848309326454;-0.59261367294448;0.530553134900423
"Campos dos Goytacazes (RJ)";-0.550075103089074;2.79681891772085;-2.76066389703721;0.679496110238733;0.228444341771496;0.428798699457436;0.390974500542494;0.438086203250147;0.267026708367998;0.152184874157438;-0.562041580168964;0.19274818660819;0.880622136792621;0.00378855896195023;0.0404384319465771;0.350642830060552;0.525300128022944;-0.766839966119446
"Cantagalo (RJ)";-0.112323332602765;1.48055191936789;-1.52197025032082;-0.250573892058354;-0.468948339594284;-0.183337230052727;-0.893895593251108;-0.254616451303002;1.27298462513135;-0.0433137416300574;0.450455986667923;0.00236500842463868;0.0745374082354045;0.327811749687149;0.0759375260227444;0.305401784757458;0.0203126668609955;0.064218356788011
"Cardoso Moreira (RJ)";1.42657678858306;-0.784948740268746;0.344073569914547;-0.673034371425846;-2.18073037567392;-0.435768193774254;-0.973350917575585;-0.755018355354494;-1.01165019526122;-0.997343156130718;-0.165977118442624;-1.65668840146059;-0.421519685598832;-0.78044280377473;-1.32214944530924;-1.20367088192802;-0.655617633006444;0.875268724782342
"Carmo (RJ)";0.645090707417422;0.709319063940019;-0.965776314690911;0.111188021253761;-0.659146343603131;-1.34125262191074;-0.464040415386785;-0.557421185877156;-0.41147497846807;-0.314752474692172;0.53945598414174;-0.351203751059099;-0.232186634418123;0.411443896367613;0.356315606176244;-0.649724063400563;0.123370682694932;-0.113482102085352
